region_name,first_date,first_price,last_date,last_price,price_gain
North Devon,1995-01-01,48582.71582,2021-08-01,263838.0398,215255.32398000004
North East,1992-04-01,42327.23262,2021-08-01,149041.8298,106714.59718000001
North East Derbyshire,1995-01-01,52095.77877,2021-08-01,220838.0888,168742.31003
North East Lincolnshire,1995-01-01,38534.87942,2021-08-01,138285.2155,99750.33608
Northern Ireland,1968-04-01,3661.4855,2021-08-01,153449.2746,149787.7891
North Hertfordshire,1995-01-01,66401.1747,2021-08-01,374481.8584,308080.68370000005
North Kesteven,1995-01-01,51577.3899,2021-08-01,236508.9938,184931.6039
North Lanarkshire,2004-01-01,58252.83987,2021-08-01,129133.7861,70880.94623
North Lincolnshire,1995-01-01,43784.1332,2021-08-01,170765.7697,126981.63650000001
North Norfolk,1995-01-01,57722.32099,2021-08-01,300855.5537,243133.23270999998
North Northamptonshire,1995-01-01,40484.19125,2021-08-01,244495.5609,204011.36965
North Somerset,1995-01-01,55835.54485,2021-08-01,307732.9845,251897.43965000001
North Tyneside,1995-01-01,43013.07261,2021-08-01,178715.3361,135702.26348999998
Northumberland,1995-01-01,47068.15733,2021-08-01,184927.7461,137859.58876999997
North Warwickshire,1995-01-01,49808.1127,2021-08-01,238737.858,188929.7453
North West,1995-01-01,43958.48001,2021-08-01,194821.0813,150862.60129
North West Leicestershire,1995-01-01,52975.0241,2021-08-01,241385.2391,188410.215
North Yorkshire,1995-01-01,59316.39351,2021-08-01,252146.806,192830.41249000002
Norwich,1995-01-01,36370.85262,2021-08-01,222852.7004,186481.84778
Nottinghamshire,1995-01-01,46309.8188,2021-08-01,205045.5271,158735.7083
Nuneaton and Bedworth,1995-01-01,46348.68738,2021-08-01,204697.8933,158349.20591999998
Oadby and Wigston,1995-01-01,52551.34841,2021-08-01,251130.0063,198578.65789
Oldham,1995-01-01,38133.02942,2021-08-01,170014.3685,131881.33908
Orkney Islands,2004-01-01,68238.88948,2021-08-01,166875.111,98636.22152
Outer London,1995-01-01,72958.79836,2021-08-01,461955.4183,388996.61994
Oxford,1995-01-01,78024.87998,2021-08-01,428298.2892,350273.40922000003
Oxfordshire,1995-01-01,72158.35997,2021-08-01,398883.8959,326725.53593
Pembrokeshire,1995-01-01,45845.43077,2021-08-01,222427.6888,176582.25803
Pendle,1995-01-01,27611.53242,2021-08-01,123491.7028,95880.17038
Perth and Kinross,2004-01-01,102985.0003,2021-08-01,228329.5102,125344.50989999999
Portsmouth,1995-01-01,46287.68093,2021-08-01,227590.2539,181302.57297
Powys,1995-01-01,44711.43239,2021-08-01,216997.6788,172286.24641
Preston,1995-01-01,42913.64587,2021-08-01,145799.19,102885.54413
Reading,1995-01-01,56534.77814,2021-08-01,325230.4407,268695.66255999997
Redbridge,1995-01-01,72189.58437,2021-08-01,457882.9706,385693.38623
Redcar and Cleveland,1995-01-01,45707.87849,2021-08-01,142356.9066,96649.02810999998
Redditch,1995-01-01,56082.67483,2021-08-01,236531.2621,180448.58727
Reigate and Banstead,1995-01-01,78913.01102,2021-08-01,414491.2239,335578.21288
Renfrewshire,2004-01-01,69586.79324,2021-08-01,141488.3025,71901.50925999999
Rhondda Cynon Taf,1995-01-01,34354.22938,2021-08-01,138250.7809,103896.55152000001
Ribble Valley,1995-01-01,65080.86148,2021-08-01,251053.1759,185972.31442
Richmondshire,1995-01-01,53359.70213,2021-08-01,259309.627,205949.92487000002
Richmond upon Thames,1995-01-01,109326.1245,2021-08-01,721808.2307,612482.1061999999
Rochdale,1995-01-01,40347.25076,2021-08-01,168297.8183,127950.56754000002
Rochford,1995-01-01,66272.56568,2021-08-01,405274.5196,339001.95392
Rossendale,1995-01-01,35825.94747,2021-08-01,182249.3277,146423.38023
Rother,1995-01-01,60091.96922,2021-08-01,347887.4979,287795.52868
Rotherham,1995-01-01,40762.82034,2021-08-01,167292.8183,126529.99796000001
Rugby,1995-01-01,52008.8293,2021-08-01,274135.4908,222126.66150000005
Runnymede,1995-01-01,85584.98974,2021-08-01,427929.6059,342344.61616000003
Rushcliffe,1995-01-01,66899.62319,2021-08-01,308108.4994,241208.87620999996
Rushmoor,1995-01-01,59269.76842,2021-08-01,314977.99,255708.22157999998
Rutland,1995-01-01,66802.34329,2021-08-01,349094.2551,282291.91181
Ryedale,1995-01-01,57490.53187,2021-08-01,282231.5765,224741.04463000002
Salford,1995-01-01,38040.96118,2021-08-01,200513.5866,162472.62542
Sandwell,1995-01-01,36165.94461,2021-08-01,176751.9186,140585.97399
Scarborough,1995-01-01,50664.89137,2021-08-01,190202.8206,139537.92923
Scotland,1968-04-01,2844.980688,2021-08-01,180831.6078,177986.627112
Scottish Borders,2004-01-01,81690.78982,2021-08-01,194509.166,112818.37617999999
Sedgemoor,1995-01-01,54189.27316,2021-08-01,261861.6893,207672.41614
Sefton,1995-01-01,48244.60666,2021-08-01,188245.8629,140001.25624000002
Selby,1995-01-01,54230.66326,2021-08-01,237040.8924,182810.22914
Sevenoaks,1995-01-01,92438.17901,2021-08-01,457995.7108,365557.53179
Sheffield,1995-01-01,41124.29079,2021-08-01,192235.5512,151111.26041
Shetland Islands,2004-01-01,61483.22782,2021-08-01,156242.2933,94759.06547999999
Shropshire,1995-01-01,53764.20145,2021-08-01,255155.5697,201391.36825
Slough,1995-01-01,54250.70947,2021-08-01,321047.9125,266797.20303
Solihull,1995-01-01,69825.53173,2021-08-01,307239.4091,237413.87737
Somerset,1995-01-01,53550.3911,2021-08-01,270093.2312,216542.84009999997
Somerset West and Taunton,1995-01-01,55860.60997,2021-08-01,260392.8657,204532.25573
Southampton,1995-01-01,44624.42167,2021-08-01,220826.3877,176201.96602999998
South Ayrshire,2004-01-01,78758.49403,2021-08-01,165119.4138,86360.91977000001
South Cambridgeshire,1995-01-01,74489.5639,2021-08-01,396531.1853,322041.6214
South Derbyshire,1995-01-01,46770.46976,2021-08-01,219287.2278,172516.75804
South East,1992-04-01,63990.90311,2021-08-01,358069.7588,294078.85569
Southend-on-Sea,1995-01-01,46520.95415,2021-08-01,322656.0326,276135.07845
South Gloucestershire,1995-01-01,53672.9969,2021-08-01,321084.4643,267411.46739999996
South Hams,1995-01-01,63340.40883,2021-08-01,345529.4592,282189.05036999995
South Holland,1995-01-01,41881.66298,2021-08-01,220610.431,178728.76802000002
South Kesteven,1995-01-01,48514.51807,2021-08-01,229241.8775,180727.35943
South Lakeland,1995-01-01,58326.96747,2021-08-01,264578.512,206251.54452999998
South Lanarkshire,2004-01-01,70049.21792,2021-08-01,152071.9898,82022.77188000001
South Norfolk,1995-01-01,59325.57471,2021-08-01,290836.0143,231510.43958999997
South Oxfordshire,1995-01-01,80614.41333,2021-08-01,479651.492,399037.07867
South Ribble,1995-01-01,53955.62083,2021-08-01,197124.7355,143169.11467
South Somerset,1995-01-01,50746.50283,2021-08-01,260039.5189,209293.01607
South Staffordshire,1995-01-01,63099.62813,2021-08-01,271004.1777,207904.54957
South Tyneside,1995-01-01,40316.41116,2021-08-01,149469.6136,109153.20244000001
Southwark,1995-01-01,67885.20344,2021-08-01,538854.9873,470969.78386
South West,1968-04-01,3468.159279,2021-08-01,288658.3164,285190.157121
South Yorkshire,1995-01-01,39196.7378,2021-08-01,168959.7994,129763.06159999999
Spelthorne,1995-01-01,78910.79182,2021-08-01,380882.4468,301971.65498
Stafford,1995-01-01,54732.02747,2021-08-01,235323.9145,180591.88703
Staffordshire,1995-01-01,49865.47367,2021-08-01,221710.4969,171845.02323
Staffordshire Moorlands,1995-01-01,47642.92861,2021-08-01,205333.7649,157690.83629
St Albans,1995-01-01,90064.72019,2021-08-01,588253.6397,498188.91951000004
Stevenage,1995-01-01,50892.16889,2021-08-01,302341.8844,251449.71550999998
St Helens,1995-01-01,42535.08041,2021-08-01,159784.1722,117249.09179
Stirling,2004-01-01,118836.2645,2021-08-01,232645.6044,113809.3399
Stockport,1995-01-01,54067.87907,2021-08-01,266610.0662,212542.18713
Stockton-on-Tees,1995-01-01,46068.1865,2021-08-01,155191.6073,109123.42079999999
Stoke-on-Trent,1995-01-01,30850.03691,2021-08-01,133456.7449,102606.70799
Stratford-on-Avon,1995-01-01,79858.83342,2021-08-01,379731.6152,299872.78178
Stroud,1995-01-01,63960.94919,2021-08-01,305359.4761,241398.52691000002
Suffolk,1995-01-01,51644.70991,2021-08-01,272839.3641,221194.65419
Sunderland,1995-01-01,37221.66088,2021-08-01,132345.0101,95123.34922
